No. de Depósito,Referencia,Potencia kW,Potencia HP,Tamaño constructivo,Velocidad rpm,Torque Nm,Corriente nominal 220VDD A,Corriente nominal 380VYY A,Corriente nominal 440VD A,Eficiencia %,Peso neto (IM B3) kg,Precio de lista USD,rpm,polos,costo_Pesos,(%) deslizamiento
100664788,1LE0143-1EC46-4AA4-Z D80+D81,15.0,20.0,180L,1180,121.0,55.0,31.5,27.5,91.7,185.0,2898.0,1200,6,11255832.0,1.6666666666666667
100664789,1LE0143-1EC86-4AA4-Z D80+D81,18.5,25.0,180L,1175,150.0,67.0,39.0,33.5,93.0,186.0,3559.0,1200,6,13823156.0,2.083333333333333
100664790,1LE0143-2AC56-4AA4-Z D80+D81,22.0,30.0,200L,1185,177.0,79.0,45.5,39.5,93.0,265.0,4256.0,1200,6,16530304.0,1.25
100664791,1LE0143-2BC36-4AA4-Z D80+D81,33.0,45.0,225M,1185,266.0,118.0,69.0,59.0,94.1,354.0,5453.0,1200,6,21179452.0,1.25
100664792,1LE0143-2CC26-4AA4-Z D80+D81,37.0,50.0,250M,1190,297.0,130.0,75.0,65.0,94.1,479.0,7170.0,1200,6,27848280.0,0.8333333333333334
100664793,1LE0143-2DC03-3AA4-Z D80+D81,45.0,60.0,280S,1186,362.0,,,75.0,94.5,550.0,7832.0,1200,6,30419488.0,1.1666666666666667
100664794,1LE0143-2DC23-3AA4-Z D80+D81,55.0,75.0,280S,1186,443.0,,,94.0,94.5,550.0,8848.0,1200,6,34365632.0,1.1666666666666667
100664795,1LE0143-2DC83-3AA4-Z D80+D81,75.0,100.0,280M,1186,604.0,,,121.0,95.0,680.0,13048.0,1200,6,50678432.0,1.1666666666666667
100664796,1LE0143-2DC73-3AA4-Z D80+D81,90.0,125.0,280M,1188,723.0,,,151.0,95.0,680.0,14571.0,1200,6,56593764.0,1.0
100664797,1LE8143-3AC53-3AA4-Z D80+D81,110.0,150.0,315L,1193,881.0,,,182.0,95.8,1270.0,16889.0,1200,6,65596876.0,0.5833333333333334
100663133,1LE8143-3AC63-3AA4-Z D80+D81,150.0,200.0,315L,1191,1203.0,,,240.0,95.8,1270.0,19564.0,1200,6,75986576.0,0.75
